,Title,pub_date,No_ofViwes,Likes,Comments
80,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,5887,129,62
81,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,8903,489,81
82,Sh*t Data Scientists Say (Parody),2020-10-05,9028,570,142
83,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8417,362,93
84,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6880,284,61
85,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,10467,275,69
86,5 Essential Data Science Projects for Your Portfolio,2020-09-26,65484,2908,204
87,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,4999,192,66
88,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9743,399,58
89,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7161,249,34
90,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5008,191,56
91,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3942,153,35
92,The 5 Pillars of Success I Live By,2020-09-11,9952,870,153
93,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1863,77,25
94,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3821,158,43
95,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11211,719,145
96,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,17315,558,89
97,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,16189,760,93
98,Why I'm Starting Data Science Over Again.,2020-08-29,50289,2599,452
99,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14265,598,76
100,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,11631,432,54
101,Don't Buy My Course..,2020-08-21,7272,356,148
102,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,27768,1074,166
103,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3118,128,40
104,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6065,534,110
105,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4713,182,39
106,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,9556,314,53
107,The Plagiarism Problem in Data Science,2020-08-07,12899,626,150
108,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13978,594,89
109,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4678,183,56
110,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10340,551,90
111,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2270,115,34
112,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5374,250,112
113,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8048,245,201
114,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1825,98,27
115,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,26274,534,90
116,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,238697,5711,391
117,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,28679,1075,120
118,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3476,132,50
119,The Best Computer for Data Science Beginners,2020-07-10,33212,793,156
120,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5996,228,84
121,Critiquing MY OWN Data Science Resume,2020-07-06,12062,386,92
122,Where to Start Learning Data Science,2020-07-03,17871,756,131
123,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3881,195,37
124,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4411,174,54
125,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,14793,527,79
126,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2313,81,40
127,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2358,137,51
128,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4153,163,46
129,Why You're Struggling to Learn Data Science,2020-06-12,14931,1000,159
130,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,10001,314,70
131,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,21164,645,151
132,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5604,154,53
133,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,57665,1900,263
134,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20815,487,81
135,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,49664,1766,176
136,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11030,175,55
137,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,96247,3568,186
138,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3083,146,115
139,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4271,149,74
140,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1357404,48208,2001
141,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5084,186,42
142,What You Need to Know for a Data Science Internship,2020-05-01,17014,999,60
143,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,7968,344,57
144,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14828,459,103
145,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2958,84,24
146,5 Tips for Crushing the Work From Home Life,2020-04-20,5210,200,38
147,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,15422,616,122
148,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,22198,617,95
149,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,34041,736,142
150,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,58033,1629,201
151,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,61311,1485,257
152,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,89333,2753,611
153,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,130946,3770,161
154,When Data Science Goes Wrong,2020-03-30,1758,106,32
155,How to ULTRALEARN Data Science,2020-03-27,59544,3732,166
156,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4224,265,50
157,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,11600,431,45
158,The Secret Data Scientists Don't Want You to Know,2020-03-16,10194,1104,107
159,The 5 Stages of Learning Data Science,2020-03-13,16659,1253,78
160,Can You Learn Data Science Without a Computer?,2020-03-11,1331,99,14
161,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,327098,20445,611
162,The Data Science Projects that Got Me a Job,2020-03-06,37655,1320,41
163,How to Integrate Data Science into Your Business,2020-03-02,3104,119,18
164,The Problem with Data Science,2020-02-28,3607,150,21
165,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1070,45,16
166,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,98610,2011,89
167,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,291056,16534,510
168,Data Science Advice for College Students,2020-02-14,67012,1918,195
169,Avoid These Data Science Resume Mistakes!,2020-02-10,25740,1151,57
170,Data Science Explained with ... Cooking?,2020-02-07,4523,280,45
171,The 4 Types of Sports Analytics Projects,2020-02-03,23334,805,60
172,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,534,18,13
173,How I Learned Data Science,2020-01-27,90948,2596,210
174,What is Sports Analytics Really?,2020-01-20,17175,521,73
175,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,103360,2926,578
176,How To Learn Programming for Data Science [3 Steps],2020-01-13,28505,1915,98
177,Data Science Fundamentals: SQL Queries,2020-01-10,5650,201,34
178,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2703,136,14
179,The 9 Books That Changed My Perspective in 2019,2020-01-03,3226,179,23
180,The Data Science Interview: What to Expect,2019-12-30,7507,354,32
181,5 Data Science Resolutions for 2020,2019-12-27,468,25,12
182,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,13828,497,89
183,Collision Course: Sports Betting + Data Science,2019-12-20,13315,411,26
184,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,98796,2891,214
185,5 Sports Analytics Books to Get You Started,2019-12-13,8993,335,55
186,Math Needed for Mastering Data Science,2019-12-09,53239,2737,225
187,The 5 Stages of Data Science Adoption,2019-12-06,1185,64,17
188,How YOU Can Land a Sports Analytics Job,2019-12-02,59868,2713,222
189,Data Science Fundamentals: Linear Regression,2019-11-29,5637,159,41
190,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,904,45,12
191,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5148,242,26
192,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,43777,1682,80
193,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5804,136,31
194,Why Selling Is An Important Data Science Skill,2019-11-04,1536,74,13
195,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2565,69,18
196,Why is Balance Important in Data Science?,2019-10-16,666,32,13
197,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11018,551,56
198,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3077,100,29
199,6 Habits of Successful Data Scientists,2019-09-13,1901,89,17
200,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3439,87,9
201,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,513,24,29
202,Is Data Science Right For You?,2019-08-18,47654,1115,109
203,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,13055,360,53
204,How To Get Data Science Experience (Without a Job),2019-08-08,27668,1317,71
205,Take Your Data Science Projects From Good to Great,2019-08-05,1528,105,11
206,The Projects You Should Do To Get A Data Science Job,2019-07-30,142048,5493,252
207,What Does a Data Scientist Actually Do?,2019-07-19,32298,1099,74
208,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,11526,330,41
209,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,15985,484,61
210,Data Science: Pros and Cons,2019-06-30,4706,205,18
211,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,22355,1090,89
212,My Top 5 Data Science Internship Tips,2019-06-15,10488,448,19
213,Golf STATS: Strokes Gained Explained,2019-06-07,6037,129,28
214,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,581,44,5
215,What I Learned From My Three Degrees,2019-05-17,1182,58,12
216,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25002,1047,67
217,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1161,40,2
218,Should You Learn R for Data Science?,2019-04-25,18140,509,69
219,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,44806,828,337
220,Work From Home Data Scientist: Day in the Life,2019-04-12,27698,755,103
221,Where to Look for Data Science Jobs,2019-03-29,2919,118,9
222,Data Science: Startup vs. Large Corporation,2019-03-21,1932,71,4
223,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5550,157,25
224,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3956,172,14
225,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,743,30,12
226,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1324,33,8
227,Where YOU Should Start With Data Science Projects,2019-02-19,13132,283,17
228,Watch This Before Applying to Data Science Jobs,2019-02-04,1429,63,13
229,My Top 5 Data Science Resources for 2019,2019-01-05,3601,118,17
230,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,797,36,6
231,The Best Way to Predict NBA Minutes Played,2018-12-11,3581,96,13
232,Demystifying Data Science Roles,2018-11-30,1085,51,5
233,How to Simulate NBA Games in Python,2018-11-19,15717,356,54
234,Should You Get A Masters in Data Science?,2018-11-14,19870,295,141
235,How I Became A Data Scientist From a Business Background,2018-11-12,6104,188,23
236,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7841,177,17
237,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,17941,274,41
